name;n;swaps;compares;time;swaps_n;compares_n;
dual;100;261;570;0.0006888;13.05;28.5;
dual;200;607;1279;0.000565;15.175;31.975;
dual;300;1207;2164;0.000811;20.1167;36.0667;
dual;400;1329;3322;0.0015316;16.6125;41.525;
dual;500;1845;4095;0.0013796;18.45;40.95;
dual;600;2752;5515;0.00279;22.9333;45.9583;
dual;700;2839;6129;0.0019574;20.2786;43.7786;
dual;800;3398;7250;0.0043954;21.2375;45.3125;
dual;900;3522;9192;0.0054346;19.5667;51.0667;
dual;1000;4436;9767;0.0029954;22.18;48.835;
dual;1100;4492;10083;0.0030948;20.4182;45.8318;
dual;1200;4575;12385;0.003963;19.0625;51.6042;
dual;1300;4414;12805;0.0047294;16.9769;49.25;
dual;1400;6329;14027;0.0074744;22.6036;50.0964;
dual;1500;6311;15283;0.0077554;21.0367;50.9433;
dual;1600;7433;16001;0.0074674;23.2281;50.0031;
dual;1700;7119;17428;0.0079962;20.9382;51.2588;
dual;1800;7260;20442;0.0089898;20.1667;56.7833;
dual;1900;8565;19372;0.008751;22.5395;50.9789;
dual;2000;9407;21157;0.0096806;23.5175;52.8925;
dual;2100;7935;22667;0.0100266;18.8929;53.969;
dual;2200;9243;25491;0.0112308;21.0068;57.9341;
dual;2300;10691;26250;0.0118246;23.2426;57.0665;
dual;2400;11750;28092;0.0122972;24.4792;58.525;
dual;2500;15113;28924;0.012618;30.226;57.848;
dual;2600;11432;28365;0.012609;21.9846;54.5481;
dual;2700;11027;30551;0.0135152;20.4204;56.5759;
dual;2800;12318;30539;0.0137578;21.9964;54.5339;
dual;2900;14006;33632;0.014714;24.1483;57.9862;
dual;3000;14777;34477;0.015153;24.6283;57.4617;
dual;3100;13001;35179;0.0154106;20.9694;56.7403;
dual;3200;13322;37735;0.0163868;20.8156;58.9609;
dual;3300;14490;37595;0.0164552;21.9545;56.9621;
dual;3400;15808;38875;0.017286;23.2471;57.1691;
dual;3500;16802;41912;0.0181426;24.0029;59.8743;
dual;3600;18017;43485;0.0188908;25.0247;60.3964;
dual;3700;17258;43540;0.0190324;23.3216;58.8378;
dual;3800;17266;48972;0.0208338;22.7184;64.4368;
dual;3900;20296;44376;0.0197896;26.0205;56.8923;
dual;4000;17692;49176;0.0211642;22.115;61.47;
dual;4100;19981;47510;0.0209324;24.3671;57.939;
dual;4200;17929;49629;0.0216974;21.344;59.0821;
