name;n;swaps;compares;time;swaps_n;compares_n;
dual;4300;20491;54571;0.023325;23.8267;63.4547;
dual;4400;22249;55370;0.02418;25.283;62.9205;
dual;4500;25665;58199;0.0249434;28.5167;64.6656;
dual;4600;20785;54264;0.023753;22.5926;58.9826;
dual;4700;24976;56033;0.0245636;26.5702;59.6096;
dual;4800;23618;59872;0.0259854;24.6021;62.3667;
dual;4900;26086;62233;0.02676;26.6184;63.5031;
dual;5000;24001;59521;0.0261048;24.001;59.521;
dual;5100;23305;63552;0.0274456;22.848;62.3059;
dual;5200;25429;64479;0.0281842;24.451;61.999;
dual;5300;26102;65784;0.0284974;24.6245;62.0611;
dual;5400;30003;70466;0.030026;27.7806;65.2463;
dual;5500;33763;71963;0.0310576;30.6936;65.4209;
dual;5600;30270;70580;0.030488;27.0268;63.0179;
dual;5700;29793;76333;0.0323488;26.1342;66.9588;
dual;5800;32854;73004;0.0317418;28.3224;62.9345;
dual;5900;29392;72797;0.0317998;24.9085;61.6927;
dual;6000;30487;77581;0.0332468;25.4058;64.6508;
dual;6100;34076;81127;0.0348776;27.9311;66.4975;
dual;6200;33777;79222;0.0341196;27.2395;63.8887;
dual;6300;37740;82552;0.035531;29.9524;65.5175;
dual;6400;33135;79768;0.0349434;25.8867;62.3188;
dual;6500;33280;83141;0.0357578;25.6;63.9551;
dual;6600;34955;82913;0.036281;26.4811;62.8129;
dual;6700;32635;84925;0.0370652;24.3545;63.3769;
dual;6800;34265;91818;0.039176;25.1949;67.5132;
dual;6900;45693;93317;0.0401722;33.1109;67.621;
dual;7000;40132;86124;0.0380442;28.666;61.5177;
dual;7100;36384;94555;0.0405204;25.6225;66.588;
dual;7200;39970;88364;0.0389548;27.7569;61.3639;
dual;7300;37258;99393;0.0423994;25.5192;68.0774;
dual;7400;40393;94303;0.0364284;27.2926;63.7182;
dual;7500;41375;98185;0.0414;27.5835;65.4571;
dual;7600;42566;102980;0.0439826;28.0039;67.75;
dual;7700;40848;95462;0.0425056;26.5247;61.9883;
dual;7800;41182;98608;0.0431484;26.3987;63.2103;
dual;7900;38438;105470;0.04658;24.3278;66.7532;
dual;8000;43491;105407;0.0463846;27.1821;65.8798;
dual;8100;47852;114642;0.0487724;29.5383;70.7667;
dual;8200;51965;115228;0.0490046;31.686;70.261;
dual;8300;43348;116820;0.0497508;26.1133;70.3735;
dual;8400;46481;113540;0.0486774;27.6675;67.5838;
dual;8500;48741;112566;0.0485992;28.6712;66.2153;
dual;8600;45644;114720;0.049272;26.5372;66.6977;
dual;8700;47154;114540;0.049785;27.1;65.8276;
dual;8800;49955;114777;0.049909;28.3839;65.2147;
dual;8900;47063;138519;0.0571654;26.4399;77.8197;
dual;9000;60117;122644;0.0528406;33.3983;68.1356;
dual;9100;49222;123288;0.0529868;27.0451;67.7407;
dual;9200;51551;124870;0.0543044;28.0168;67.8642;
dual;9300;54117;125449;0.0545622;29.0952;67.4457;
dual;9400;52270;126873;0.057978;27.8032;67.4856;
dual;9500;51070;124131;0.0556702;26.8794;65.3321;
dual;9600;56148;129435;0.0572214;29.2437;67.4141;
dual;9700;57252;129935;0.052605;29.5113;66.9768;
dual;9800;54762;128240;0.0500348;27.9398;65.4286;
dual;9900;59642;130431;0.0514072;30.1223;65.8745;
dual;10000;52490;134888;0.0531978;26.245;67.444;
