name;n;swaps;compares;time;
dual;100;166;530;0.000366;
dual;100;166;530;0.000432;
dual;100;166;530;0.000418;
dual;100;166;530;0.000337;
dual;100;166;530;0.000395;
dual;100;166;530;0.000336;
dual;100;166;530;0.000323;
dual;100;166;530;0.000321;
dual;100;166;530;0.000336;
dual;100;166;530;0.000334;
dual;200;565;1309;0.000801;
dual;200;565;1309;0.000806;
dual;200;565;1309;0.000811;
dual;200;565;1309;0.000797;
dual;200;565;1309;0.000816;
dual;200;565;1309;0.000826;
dual;200;565;1309;0.00076;
dual;200;565;1309;0.000673;
dual;200;565;1309;0.000472;
dual;200;565;1309;0.000535;
dual;300;693;2114;0.000821;
dual;300;693;2114;0.000868;
dual;300;693;2114;0.000862;
dual;300;693;2114;0.000853;
dual;300;693;2114;0.000727;
dual;300;693;2114;0.000644;
dual;300;693;2114;0.000552;
dual;300;693;2114;0.000529;
dual;300;693;2114;0.000559;
dual;300;693;2114;0.000634;
dual;400;1102;3110;0.000813;
dual;400;1102;3110;0.001069;
dual;400;1102;3110;0.000785;
dual;400;1102;3110;0.000995;
dual;400;1102;3110;0.000882;
dual;400;1102;3110;0.000779;
dual;400;1102;3110;0.000758;
dual;400;1102;3110;0.000737;
dual;400;1102;3110;0.000773;
dual;400;1102;3110;0.000736;
dual;500;1291;3954;0.000932;
dual;500;1291;3954;0.000965;
dual;500;1291;3954;0.001011;
dual;500;1291;3954;0.001339;
dual;500;1291;3954;0.001304;
dual;500;1291;3954;0.001147;
dual;500;1291;3954;0.000991;
dual;500;1291;3954;0.000929;
dual;500;1291;3954;0.000923;
dual;500;1291;3954;0.000902;
dual;600;2061;6181;0.001407;
dual;600;2061;6181;0.001393;
dual;600;2061;6181;0.001656;
dual;600;2061;6181;0.001427;
dual;600;2061;6181;0.001412;
dual;600;2061;6181;0.001399;
dual;600;2061;6181;0.00161;
dual;600;2061;6181;0.001501;
dual;600;2061;6181;0.001488;
dual;600;2061;6181;0.001464;
dual;700;2198;6094;0.001489;
dual;700;2198;6094;0.001533;
dual;700;2198;6094;0.001445;
dual;700;2198;6094;0.00177;
dual;700;2198;6094;0.001717;
dual;700;2198;6094;0.001437;
dual;700;2198;6094;0.001406;
dual;700;2198;6094;0.001493;
dual;700;2198;6094;0.001244;
dual;700;2198;6094;0.001243;
dual;800;2812;8048;0.00223;
dual;800;2812;8048;0.002117;
dual;800;2812;8048;0.001966;
dual;800;2812;8048;0.001701;
dual;800;2812;8048;0.001643;
dual;800;2812;8048;0.001909;
dual;800;2812;8048;0.002086;
dual;800;2812;8048;0.001826;
dual;800;2812;8048;0.001885;
dual;800;2812;8048;0.00186;
dual;900;2550;8278;0.002112;
dual;900;2550;8278;0.002684;
dual;900;2550;8278;0.002487;
dual;900;2550;8278;0.002505;
dual;900;2550;8278;0.002115;
dual;900;2550;8278;0.001989;
dual;900;2550;8278;0.001924;
dual;900;2550;8278;0.001953;
dual;900;2550;8278;0.001907;
dual;900;2550;8278;0.002162;
