name;n;swaps;compares;time;
dual;100;310;615;0,000414;
dual;100;310;615;0,000391;
dual;100;310;615;0,000377;
dual;100;310;615;0,00053;
dual;100;310;615;0,000552;
dual;100;310;615;0,000535;
dual;100;310;615;0,000499;
dual;100;310;615;0,000571;
dual;100;310;615;0,000584;
dual;100;310;615;0,000599;
dual;200;602;1302;0,001175;
dual;200;602;1302;0,001215;
dual;200;602;1302;0,000965;
dual;200;602;1302;0,00082;
dual;200;602;1302;0,000766;
dual;200;602;1302;0,000805;
dual;200;602;1302;0,000724;
dual;200;602;1302;0,000713;
dual;200;602;1302;0,000698;
dual;200;602;1302;0,000757;
dual;300;1087;2192;0,001285;
dual;300;1087;2192;0,001281;
dual;300;1087;2192;0,001099;
dual;300;1087;2192;0,0011;
dual;300;1087;2192;0,000879;
dual;300;1087;2192;0,00082;
dual;300;1087;2192;0,001046;
dual;300;1087;2192;0,000937;
dual;300;1087;2192;0,000791;
dual;300;1087;2192;0,000826;
dual;400;1528;3221;0,001082;
dual;400;1528;3221;0,000911;
dual;400;1528;3221;0,000911;
dual;400;1528;3221;0,000921;
dual;400;1528;3221;0,000913;
dual;400;1528;3221;0,000909;
dual;400;1528;3221;0,000913;
dual;400;1528;3221;0,00107;
dual;400;1528;3221;0,001496;
dual;400;1528;3221;0,001545;
dual;500;2056;4204;0,002204;
dual;500;2056;4204;0,002042;
dual;500;2056;4204;0,002172;
dual;500;2056;4204;0,002051;
dual;500;2056;4204;0,002172;
dual;500;2056;4204;0,002089;
dual;500;2056;4204;0,001936;
dual;500;2056;4204;0,001935;
dual;500;2056;4204;0,001993;
dual;500;2056;4204;0,001931;
dual;600;2190;5330;0,001718;
dual;600;2190;5330;0,00166;
dual;600;2190;5330;0,001687;
dual;600;2190;5330;0,001655;
dual;600;2190;5330;0,001667;
dual;600;2190;5330;0,001669;
dual;600;2190;5330;0,001668;
dual;600;2190;5330;0,001754;
dual;600;2190;5330;0,001651;
dual;600;2190;5330;0,001705;
dual;700;2926;6575;0,001991;
dual;700;2926;6575;0,002012;
dual;700;2926;6575;0,002048;
dual;700;2926;6575;0,002008;
dual;700;2926;6575;0,001992;
dual;700;2926;6575;0,002007;
dual;700;2926;6575;0,001995;
dual;700;2926;6575;0,002302;
dual;700;2926;6575;0,002006;
dual;700;2926;6575;0,001999;
dual;800;3431;6892;0,002197;
dual;800;3431;6892;0,002187;
dual;800;3431;6892;0,002217;
dual;800;3431;6892;0,002523;
dual;800;3431;6892;0,002749;
dual;800;3431;6892;0,002972;
dual;800;3431;6892;0,003103;
dual;800;3431;6892;0,002481;
dual;800;3431;6892;0,002357;
dual;800;3431;6892;0,002456;
dual;900;3794;8240;0,002826;
dual;900;3794;8240;0,003143;
dual;900;3794;8240;0,003458;
dual;900;3794;8240;0,002933;
dual;900;3794;8240;0,002934;
dual;900;3794;8240;0,003049;
dual;900;3794;8240;0,00297;
dual;900;3794;8240;0,002915;
dual;900;3794;8240;0,002856;
dual;900;3794;8240;0,002948;
dual;1000;3573;10599;0,003449;
dual;1000;3573;10599;0,003666;
dual;1000;3573;10599;0,003618;
dual;1000;3573;10599;0,003583;
dual;1000;3573;10599;0,003487;
dual;1000;3573;10599;0,003489;
dual;1000;3573;10599;0,003505;
dual;1000;3573;10599;0,003658;
dual;1000;3573;10599;0,003074;
dual;1000;3573;10599;0,003062;
dual;1100;4649;10659;0,003199;
dual;1100;4649;10659;0,003076;
dual;1100;4649;10659;0,003217;
dual;1100;4649;10659;0,00342;
dual;1100;4649;10659;0,003122;
dual;1100;4649;10659;0,002968;
dual;1100;4649;10659;0,002831;
dual;1100;4649;10659;0,002832;
dual;1100;4649;10659;0,002828;
dual;1100;4649;10659;0,004283;
dual;1200;4745;11900;0,003145;
dual;1200;4745;11900;0,003532;
dual;1200;4745;11900;0,003519;
dual;1200;4745;11900;0,003518;
dual;1200;4745;11900;0,003513;
dual;1200;4745;11900;0,003624;
dual;1200;4745;11900;0,0034;
dual;1200;4745;11900;0,003154;
dual;1200;4745;11900;0,00315;
dual;1200;4745;11900;0,003141;
dual;1300;6296;12789;0,003457;
dual;1300;6296;12789;0,003442;
dual;1300;6296;12789;0,003382;
dual;1300;6296;12789;0,003457;
dual;1300;6296;12789;0,003377;
dual;1300;6296;12789;0,003388;
dual;1300;6296;12789;0,003793;
dual;1300;6296;12789;0,003758;
dual;1300;6296;12789;0,003429;
dual;1300;6296;12789;0,003667;
dual;1400;5705;13570;0,004111;
dual;1400;5705;13570;0,004029;
dual;1400;5705;13570;0,003604;
dual;1400;5705;13570;0,003814;
dual;1400;5705;13570;0,003635;
dual;1400;5705;13570;0,003701;
dual;1400;5705;13570;0,003629;
dual;1400;5705;13570;0,003647;
dual;1400;5705;13570;0,00367;
dual;1400;5705;13570;0,003699;
dual;1500;7413;15962;0,004128;
dual;1500;7413;15962;0,004115;
dual;1500;7413;15962;0,004111;
dual;1500;7413;15962;0,004335;
dual;1500;7413;15962;0,004604;
dual;1500;7413;15962;0,004653;
dual;1500;7413;15962;0,00412;
dual;1500;7413;15962;0,004424;
dual;1500;7413;15962;0,00477;
dual;1500;7413;15962;0,004683;
dual;1600;6271;16462;0,004848;
dual;1600;6271;16462;0,004861;
dual;1600;6271;16462;0,004858;
dual;1600;6271;16462;0,004892;
dual;1600;6271;16462;0,004846;
dual;1600;6271;16462;0,004902;
dual;1600;6271;16462;0,004409;
dual;1600;6271;16462;0,00429;
dual;1600;6271;16462;0,004286;
dual;1600;6271;16462;0,004294;
dual;1700;8817;19387;0,004875;
dual;1700;8817;19387;0,004882;
dual;1700;8817;19387;0,00488;
dual;1700;8817;19387;0,00491;
dual;1700;8817;19387;0,004962;
dual;1700;8817;19387;0,004879;
dual;1700;8817;19387;0,004874;
dual;1700;8817;19387;0,004915;
dual;1700;8817;19387;0,004867;
dual;1700;8817;19387;0,004875;
dual;1800;9367;20208;0,005102;
dual;1800;9367;20208;0,005088;
dual;1800;9367;20208;0,005165;
dual;1800;9367;20208;0,005089;
dual;1800;9367;20208;0,005119;
dual;1800;9367;20208;0,005128;
dual;1800;9367;20208;0,005098;
dual;1800;9367;20208;0,005245;
dual;1800;9367;20208;0,005174;
dual;1800;9367;20208;0,005123;
dual;1900;7402;20969;0,006583;
dual;1900;7402;20969;0,006061;
dual;1900;7402;20969;0,006058;
dual;1900;7402;20969;0,005379;
dual;1900;7402;20969;0,005468;
dual;1900;7402;20969;0,005538;
dual;1900;7402;20969;0,005382;
dual;1900;7402;20969;0,005344;
dual;1900;7402;20969;0,00536;
dual;1900;7402;20969;0,005359;
dual;2000;9286;20285;0,005403;
dual;2000;9286;20285;0,005345;
dual;2000;9286;20285;0,005438;
dual;2000;9286;20285;0,005889;
dual;2000;9286;20285;0,00564;
dual;2000;9286;20285;0,005544;
dual;2000;9286;20285;0,006291;
dual;2000;9286;20285;0,005882;
dual;2000;9286;20285;0,006077;
dual;2000;9286;20285;0,005409;
dual;2100;8934;23743;0,006265;
dual;2100;8934;23743;0,006384;
dual;2100;8934;23743;0,006052;
dual;2100;8934;23743;0,006267;
dual;2100;8934;23743;0,006284;
dual;2100;8934;23743;0,006113;
dual;2100;8934;23743;0,006162;
dual;2100;8934;23743;0,006534;
dual;2100;8934;23743;0,007542;
dual;2100;8934;23743;0,006483;
dual;2200;8921;23535;0,006482;
dual;2200;8921;23535;0,006144;
dual;2200;8921;23535;0,006598;
dual;2200;8921;23535;0,00682;
dual;2200;8921;23535;0,006822;
dual;2200;8921;23535;0,00636;
dual;2200;8921;23535;0,006198;
dual;2200;8921;23535;0,006569;
dual;2200;8921;23535;0,006496;
dual;2200;8921;23535;0,006542;
dual;2300;10370;25796;0,006727;
dual;2300;10370;25796;0,006516;
dual;2300;10370;25796;0,006955;
dual;2300;10370;25796;0,00678;
dual;2300;10370;25796;0,006762;
dual;2300;10370;25796;0,006761;
dual;2300;10370;25796;0,006552;
dual;2300;10370;25796;0,006911;
dual;2300;10370;25796;0,006748;
dual;2300;10370;25796;0,006594;
dual;2400;10553;26276;0,00735;
dual;2400;10553;26276;0,0076;
dual;2400;10553;26276;0,007337;
dual;2400;10553;26276;0,006795;
dual;2400;10553;26276;0,0071;
dual;2400;10553;26276;0,00688;
dual;2400;10553;26276;0,006767;
dual;2400;10553;26276;0,007162;
dual;2400;10553;26276;0,006754;
dual;2400;10553;26276;0,006976;
dual;2500;11639;26810;0,007125;
dual;2500;11639;26810;0,00693;
dual;2500;11639;26810;0,007009;
dual;2500;12326;28522;0,00721;
dual;2500;11100;27483;0,00702;
dual;2500;11100;27483;0,00703;
dual;2500;11100;27483;0,00701;
dual;2500;11100;27483;0,007046;
dual;2500;11100;27483;0,007004;
dual;2500;11100;27483;0,007003;
dual;2600;11204;29666;0,007651;
dual;2600;11204;29666;0,007633;
dual;2600;11204;29666;0,007606;
dual;2600;11204;29666;0,007566;
dual;2600;11204;29666;0,007604;
dual;2600;11204;29666;0,007613;
dual;2600;11204;29666;0,008458;
dual;2600;11204;29666;0,007621;
dual;2600;11204;29666;0,007705;
dual;2600;11204;29666;0,007564;
dual;2700;13031;31153;0,008006;
dual;2700;13031;31153;0,00789;
dual;2700;13031;31153;0,007901;
dual;2700;13031;31153;0,007973;
dual;2700;13031;31153;0,007919;
dual;2700;13031;31153;0,007922;
dual;2700;13031;31153;0,008007;
dual;2700;13031;31153;0,00802;
dual;2700;13031;31153;0,007928;
dual;2700;13031;31153;0,007961;
dual;2800;11328;30957;0,009059;
dual;2800;11328;30957;0,008338;
dual;2800;11328;30957;0,008;
dual;2800;11328;30957;0,007938;
dual;2800;11328;30957;0,007944;
dual;2800;11328;30957;0,007876;
dual;2800;11328;30957;0,010149;
